City,Latitude,Longitude,Country
Zvezdnyy,70.9333,-179.6,Russia
Egvekinot,66.3221,-179.1837,Russia
Leava,-14.2961,-178.1585,Wallis and Futuna
Waitangi,-43.9514,-176.5611,New Zealand
Mata-Utu,-13.2833,-176.1833,Wallis and Futuna
Nuku`alofa,-21.1333,-175.2,Tonga
Neiafu,-18.6508,-173.9831,Tonga
Provideniya,64.4235,-173.2258,Russia
Asau,-13.5194,-172.6372,Samoa
Safotu,-13.4528,-172.4036,Samoa
Saleaula,-13.4501,-172.3335,Samoa
Satupa`itea,-13.7659,-172.3269,Samoa
Vailoa,-13.7558,-172.3064,Samoa
Safotulafai,-13.6817,-172.185,Samoa
Mulifanua,-13.8333,-171.9833,Samoa
Leulumoega,-13.8167,-171.9167,Samoa
Afega,-13.8019,-171.8217,Samoa
Enurmino,66.95,-171.8167,Russia
Apia,-13.8333,-171.75,Samoa
Lufilufi,-13.85,-171.5833,Samoa
Samamea,-13.9333,-171.5333,Samoa
Lavrentiya,65.5842,-170.9889,Russia
Pago Pago,-14.274,-170.7046,American Samoa
Alofi,-19.056,-169.921,Niue
Uelen,66.1594,-169.8092,Russia
Avarua,-21.207,-159.771,Cook Islands
Lihue,21.9721,-159.3564,United States
Kapaa,22.091,-159.3521,United States
Makaha,21.4739,-158.2102,United States
Waianae,21.4568,-158.1758,United States
Maili,21.4133,-158.1701,United States
Nanakuli,21.3892,-158.1445,United States
Makakilo,21.3591,-158.0813,United States
Kapolei,21.3399,-158.0677,United States
Schofield Barracks,21.4936,-158.0617,United States
Royal Kunia,21.4053,-158.0318,United States
Ocean Pointe,21.3145,-158.0289,United States
Ewa Gentry,21.3344,-158.0262,United States
Wahiawa,21.5012,-158.0178,United States
Mililani Town,21.4465,-158.0147,United States
Waipahu,21.3859,-158.0101,United States
Ewa Beach,21.3181,-158.0073,United States
Waipio,21.4143,-157.9966,United States
Mililani Mauka,21.4756,-157.9948,United States
Pearl City,21.4031,-157.9566,United States
Hickam Housing,21.3311,-157.9474,United States
Waimalu,21.3913,-157.9345,United States
Aiea,21.3865,-157.9232,United States
Halawa,21.3753,-157.9185,United States
Honolulu,21.3294,-157.846,United States
Ahuimanu,21.4379,-157.8404,United States
Kaneohe,21.4062,-157.7904,United States
Kailua,21.392,-157.7396,United States
East Honolulu,21.2975,-157.7211,United States
Lahaina,20.8848,-156.6618,United States
Waihee-Waiehu,20.9188,-156.5063,United States
Wailuku,20.8834,-156.5059,United States
Kahului,20.8715,-156.4603,United States
Kihei,20.7653,-156.4454,United States
Haiku-Pauwela,20.9156,-156.3022,United States
Waimea,20.0124,-155.6381,United States
Hilo,19.6883,-155.0863,United States
Hawaiian Paradise Park,19.5828,-154.9695,United States
Knik-Fairview,61.5082,-149.6252,United States
Meadow Lakes,61.638,-149.608,United States
Papeete,-17.5334,-149.5667,French Polynesia
Wasilla,61.577,-149.466,United States
Tanaina,61.6576,-149.4263,United States
North Lakes,61.6191,-149.311,United States
Anchorage,61.1508,-149.1091,United States
College,64.8694,-147.8216,United States
Fairbanks,64.8353,-147.6533,United States
Badger,64.8006,-147.3877,United States
Whitehorse,60.7029,-135.0691,Canada
Juneau,58.4546,-134.1739,United States
Prince Rupert,54.3122,-130.3271,Canada
Adamstown,-25.0667,-130.1,Pitcairn Islands
Terrace,54.5164,-128.5997,Canada
Campbell River,50.0244,-125.2475,Canada
Courtenay,49.6878,-124.9944,Canada
Comox,49.6733,-124.9022,Canada
Port Alberni,49.2339,-124.805,Canada
Powell River,49.8353,-124.5247,Canada
Qualicum Beach,49.35,-124.4333,Canada
Parksville,49.315,-124.312,Canada
North Bend,43.4075,-124.2364,United States
Coos Bay,43.3789,-124.233,United States
Eureka,40.7943,-124.1564,United States
Fortuna,40.5862,-124.1419,United States
Florence,43.9916,-124.1063,United States
McKinleyville,40.9488,-124.0857,United States
Arcata,40.8615,-124.0758,United States
Newport,44.6242,-124.0513,United States
Lincoln City,44.9751,-124.0072,United States
Nanaimo,49.1642,-123.9364,Canada
Hoquiam,46.9863,-123.9022,United States
Ladysmith,48.9975,-123.8203,Canada
Aberdeen,46.9757,-123.8094,United States
Astoria,46.1856,-123.8053,United States
Sechelt,49.4742,-123.7542,Canada
Sooke,48.3761,-123.7378,Canada
North Cowichan,48.8236,-123.7192,Canada
Duncan,48.7787,-123.7079,Canada
Langford Station,48.4506,-123.5058,Canada
